,utterance,classes,prompt,bigscience/T0pp
865,i need to bank account transfer from another account into this one what is the easiest way that can be done and what information do i need?,"['account transfer', 'easiest way', 'need information']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",easiest way need information account transfer? i need to bank account
866,how do i transfer money to my account?,"['transfer money', 'transfer account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",transfer money transfer account? i have an account
867,how do i send my account money through transfer?,"['send money', 'account money', 'send transfer']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",send money send transfer. permalink. How do I send my account money through transfer?
868,how do i do an international transfer?,"['do transfer', 'international transfer', 'do transfer']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",international transfer do transfer. i do international
869,are there ways to transfer money into my account?,"['transfer money', 'transfer account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",transfer money transfer account.htm.
870,i want to transfer from accounts in order to top up what are the steps necessary,"['steps necessary', 'top steps']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",necessary steps to top up your phone using your accounts
871,how does a transfer work?,['work transfer'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",work transfer.com is a website that connects people who
872,i would like use the bank transfer but i don't understand the process can you please explain topping up?,"['understand process', 'bank transfer', 'topping process']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",understand process bank transfer topping process.? i would like to use the bank trasnfer but <unk>
873,i want to use bank transfer for topping up my account how is it handled?,"['topping account', 'bank transfer', 'handled account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",topping account bank transfer handled account..favor
874,i checked my account today and it said i was out of money how do i transfer money into my account?,"['transfer money', 'transfer account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",transfer money transfer account?..??
875,how can i transfer money to my account?,"['transfer money', 'transfer account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",transfer money transfer account. php?q=
876,is it possible to give a second card for this account to my daughter?,"['give card', 'second card', 'give daughter']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",give daughter card second card give card for account
877,my daughter needs a card can i give her one of mine that's linked to my account?,"['give card', 'linked account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",give card linked account. id rather give my daughter a card than give her my bank statement
878,my child needs a card how can i add them to the account i currently have?,"['add card', 'have account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",have account add card.xml?
879,my daughter needs a card how do i add her?,"['add card', 'add card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",add card to cart and ship card directly to the recipient
880,can i top up by cheque?,['top '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",None of the above choices. The author of this article is trying to describe a possiblity involving submitting chequs
881,how do i top-up using cash?,"['using cash', 'using cash']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",using cash.com/how-do-i-top-up
882,can i top up with a cheque?,['top cheque'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top-up payment with cheques at your local post office
883,is it possible to top up with cash? if so how do i do it?,"['do ', 'do cash']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",is it possible to top up with cash? if so how do i do it?
884,can you help me find top up by cash deposit?,"['find top', 'cash deposit', 'find deposit']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",find top find deposit cash deposit.. thank you
885,is there an option to top up a with cheque?,"['top ', 'top cheque']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",cheque top. <unk> a bank account
886,need to deposit a cheque into my account,"['deposit cheque', 'deposit account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",deposit cheque into account. need to deposit a cheque
887,i'm looking for the cash deposit top up option but can't find it can you help me?,"['help ', 'cash deposit', 'top option', 'help option']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",help option cash deposit help..........
888,how do i top up my account with a cash payment?,"['top account', 'cash payment', 'top payment']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top payment cash payment.. ko nai account h
889,i'd like to use cash to top up how do i find that option?,"['find option', 'find option']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",find option.pdf find options.ppt
890,where do i locate topping up with cash,['topping cash'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",topping up with cash..where do i locate topping
891,how do i pay by check?,['pay check'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",pay by check for payment i want to know how to pay via check.
892,can i add to my account balance with a cheque?,"['account balance', 'add cheque']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",add cheque balance account yes no i don't know
893,what type of deposits do you accept into my account?,['accept account'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",allow deposit of something into my account from my computer
894,can i top up using a cheque?,"['using cheque', 'using cheque']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",using cheque in the bank to top up a credit card
895,can you top-up a card with a cheque?,"['topup card', 'topup cheque']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",topup card top up card using cheque.
896,i need to top up cash how do i do it?,"['do cash', 'do cash']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get cash from the ATMs and then deposit it
897,i'm looking for the option to top up by cheque,['top cheque'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top cheque i'm looking for the option
898,what locations can i top up with cash?,['top cash'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top cash up with a debit card on the go
899,i want to top up using cash where can i do that?,"['do cash', 'do cash']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",do cash top ups in the shops and banks
900,is there a way to do top up with cash deposit,"['do top', 'cash deposit', 'do deposit']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",do top cash deposit.jpg. do deposit
901,where are the options to top up with a cheque on my account?,['top account'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top bank account with checks.com.au
902,can i use cash to top up my account?,"['top account', 'top account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top up account.com.mx.
903,how can i top up with cash?,['top cash'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top cash up with card. top up cash
904,will you accept a cheque to top up my account?,"['top account', 'top account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top up account with cheques to pay bills
905,how can i top up with this cheque i got?,['got cheque'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get top up with cheques i got
906,what methods can i use to top up my account?,"['top account', 'top account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top up account.. i need it in a hurry
907,is cash good to top up with?,"['cash good', 'top cash']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",cash good top cash up cash with cash at a restaurant
908,how come i can't find anywhere to load using cash,"['using cash', 'using cash']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",finding somewhere to load using cash..thanks
909,what can i pay with? does cash work?,"['does work', 'cash work', 'does work']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",does cash work? i want to pay with cash
910,how do i deposit cash into my account?,"['deposit cash', 'deposit account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",deposit cash deposit account deposit check withdraw checks withdraw cash
911,why can't i top up with a cheque?,['top cheque'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top up with cheque or pay by cheque i want to find out why
912,can i send a cheque to do my top ups?,"['do ups', 'top ups', 'do ups']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",do ups top up syphons
913,can i top up my account with a cheque?,"['top account', 'top cheque']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top account top cheque.??????? - irc chan
914,i want to do a cash top-up,"['do topup', 'cash topup', 'do topup']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",do topup. i want to do
915,i have a cheque here can i use it to top off my account?,"['top account', 'top account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top off account if i get another cheque
916,i need a physical card,"['need card', 'physical card', 'need card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",need card physical card..? :-|
917,what are the fees for a physical card?,"['physical card', ' card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",physical card price list at stores in chennai
918,how do i get an actual card?,"['get card', 'actual card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",card get actual card? :-)
919,can i get a real card?,"['get card', 'real card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",real card get card.hmmmmm
920,why is my disposable virtual card being denied?,"['virtual card', 'denied card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",virtual card being denied card..? :/
921,my disposable virtual card doesn't seem to work,"['virtual card', 'work card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",disposable virtual card don't seem works.
922,my disposable virtual card is broken,"['virtual card', ' card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",card virtual card is broken.. my disposable virtual gift
923,my non-physical card will not work,"['nonphysical card', 'work card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",work card nonphysical card.???????
924,why did the disposable virtual card which i used to pay a gym subscription get denied?,"['pay subscription', 'gym subscription', 'virtual card', 'denied subscription']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",pay subscription virtual card denied subscription gym subscription.
925,why is my virtual card is being declined?,"['virtual card', 'declined card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",declined card virtual card.. thanks.?
926,are there restrictions for my disposable card since it does not seem to be working?,"['disposable card', 'working card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",working card disposable card? no other options?
927,i cannot get my virtual card to work,"['virtual card', 'work card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",virtual card work card not working.gif
928,i was at the store earlier and my virtual card didn't work what's the solution for this problem?,"['virtual card', 'work problem']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",problem with virtual card at store solution for problem
929,my disposable virtual card will not work,"['virtual card', 'work card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",virtual card work card? - Stack Exchange
930,i cannot use my disposable virtual card,"['use card', 'virtual card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card virtual card disposable virtual credit card i cannot use my disposable card
931,can i make multiple online transactions with my virtual card?,"['make transactions', 'virtual card', 'make card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",make transactions with virtual card.. <unk>
932,why was my virtual card declined when attempting to setup automatic billing?,"['setup billing', 'automatic billing', 'setup billing']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",setup billing automatic bill pay credit card bill payment
933,why doesn't my disposable virtual card work?,"['virtual card', 'work card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",virtual card work card online card payment work with
934,why can't i use my virtual card for subscription services?,"['use card', 'subscription services', 'virtual card', 'use services']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",subscription services use virtual card use card.#
935,why isn't my virtual card working?,"['virtual card', 'working card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",working card virtual card..? hmm
936,i cannot make transactions with my virtual card,"['make transactions', 'virtual card', 'make card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",virtual card make transactions? card? transaction?
937,for some reason the virtual card won't work for me,"['virtual card', 'work card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",digital card virtual card payment service website virtual bank card
938,my disposable virtual card has been rejected by the merchant earlier today what should i do?,"['virtual card', 'do today']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",no need to keep virtual cards around if you are not planning to use them.
939,how can i fix a problem where my virtual card is rejected?,"['fix problem', 'virtual card', 'rejected card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",fix problem with rejected virtual card in android app
940,my virtual card isn't working what do i do?,"['virtual card', 'do card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",do card virtual card..what do i do?
941,what do i do if my virtual card won't work,"['virtual card', 'work card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",work card virtual card.?.?
942,is there a trick to get the disposable virtual card to work?,"['virtual card', 'work card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",virtual card is a work of art to work
943,why can't i get my virtual card to work?,"['virtual card', 'work card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get my virtual card to work? virtual credit card
944,my card is just not working at this time,['working time'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",my card is just not working at this time.
945,my disposable card seems not to be working am i doing something wrong?,"['doing ', 'something wrong', 'doing card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",doing something wrong doing card. kb
946,my payments from my virtual card keep getting rejected,"['virtual card', 'rejected card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",rejected card virtual card.png. ews
947,my disposable virtual card is not working when i try to use it at a point of sale transaction what do i do now?,"['use ', 'virtual card', 'do transaction']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",point of sale transaction virtual card use what do i do now
948,my transaction was just declined when i was using my disposable virtual card what can i do?,"['using card', 'virtual card', 'do card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",decline transaction what can i do? my transaction was just declined when u was using my disposable virtual card
949,my disposable virtual card is not working,"['virtual card', 'working card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",working card virtual card................
950,how do i get my disposable virtual card to work?,"['virtual card', 'work card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",virtual card to work. permalink. Copy and paste the link into the browser of the card.
951,how come my disposable virtual card used to pay for a gym subscription got rejected?,"['gym subscription', 'virtual card', 'rejected subscription']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",gym subscription virtual card rejected subscription...
952,payments from my disposable virtual card don't work,"['virtual card', 'work card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",online payment system not working with virtual cards.
953,my disposable virtual card was rejected by the merchant please help?,"['virtual card', 'help merchant']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",merchant help virtual card. jpg?
954,my virtual card won't work,"['virtual card', 'work card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",virtual card won't work. work card
955,tell me why my virtual disposable card won't work,"['tell ', 'disposable card', 'work card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",tell. a reason why it won't work
956,how do you determine your exchange rates because one of yours was off when i got cash,"['got cash', 'exchange rates', 'got cash']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",got cash exchange rates.. wikipedia.
957,i used the atm machine to get money out for holiday shopping and saw the outrageous charges why is that? i would not have used the atm if i had known!,"['used charges', 'holiday shopping', 'outrageous charges', 'known charges']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",outrageous charges used charges holiday shopping.<unk>k
958,the cash withdrawal exchange rate is not correct,"['exchange rate', ' rate']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",rate rate exchange rate not correct cash withdrawal rate
959,is there a local atm that will provide british pounds i have no money for my homeward journey and do not feel comfortable waiting until  i arrive in britain will a withdrawal involve extra charges?,"['involve charges', 'extra charges', 'involve charges']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",involve charges.. extra charges will a withdrawal
960,can i get a description of how to use a disposable virtual card,"['use card', 'virtual card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card. virtual card use the card for payment.
961,can i create a disposable virtual card?,"['create card', 'virtual card', 'create card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",can i create a disposable virtual card
962,what can you tell me about getting a virtual disposable card?,"['getting card', 'disposable card', 'getting card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",getting card. (disambiguation)
963,i would like to order a disposable virtual card how can i do this?,"['do card', 'virtual card', 'do card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",order card online for free online virtual card free
964,how do vr cards work,"['vr cards', 'work cards']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",vr cards work.awesome
965,what is a disposable virtual card?,"['virtual card', ' card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",card virtual card. [b] - the virtual credit card system.
966,i would like a temporary virtual card,"['like card', 'virtual card', 'like card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",virtual card like card.. i would like a temporary virtual
967,how do the disposable cards work?,"['disposable cards', 'work cards']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",disposable cards work. wikihow.com
968,how do i use a disposable virtual card?,"['use card', 'virtual card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use virtual card. how do i use a disposable virtual
969,where's the best place to get a disposable virtual card?,"['get card', 'virtual card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get card virtual card shop at shop online for plastic cards
970,can you explain the disposable cards to me?,"['explain cards', 'disposable cards', 'explain cards']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",explain cards disposable cards.. thanks :)
971,is there anyway i can get a disposable virtual card?,"['get card', 'virtual card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get card virtual card see card get online card
972,i just purchased a disposable virtual card am i able to use it for online purchases immediately?,"['use card', 'online purchases', 'use purchases']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use cards online purchases use card.jpg.
973,how secure is a disposable virtual card,"['virtual card', ' card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",virtual card security issues. tnx.
974,what do i do to get a disposable virtual card?,"['get card', 'virtual card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get card virtual card pay online safely and securely
975,i want to get a disposable virtual card,"['get card', 'virtual card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get virtual card or use card online for a secure payment.
976,can you explain disposable cards?,"['explain cards', 'disposable cards', 'explain cards']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",explain cards disposable cards...html
977,how do i get a virtual card for one time use,"['get card', 'time use', 'virtual card', 'get use']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get card one time use virtual card for one
978,may i get a disposable virtual card as well?,"['get card', 'virtual card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get card virtual card buy card online uae
979,can i get a single use virtual card,"['get card', 'virtual card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",virtual card get card.xlsx
980,i would like to create a disposable virtual card how do i go about doing that?,"['doing card', 'virtual card', 'doing card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",doing card. Create a virtual card quickly
981,i have a disposable virtual card here so would you tell me what to do with it?,"['tell card', 'virtual card', 'do card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",give card tell card disposable virtual card.php
982,how does a virtual card work,"['virtual card', 'work card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",work card virtual card? *(clarification needed)
983,what is the process of obtaining a disposable virtual card,"['obtaining card', 'virtual card', 'obtaining card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",obtaining virtual card or digital card in the internet
984,what does a disposable virtual card do?,"['virtual card', 'do card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",do card virtual card...id.
985,when can i order a disposable virtual card?,"['order card', 'virtual card', 'order card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",order virtual card card. order card online. free
986,is it possible to also get a disposable virtual card?,"['get card', 'virtual card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get card virtual card make a donation to charity
987,how do i obtain a disposable virtual card?,"['obtain card', 'virtual card', 'obtain card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",obtain card virtual card get card online credit card
988,how would you use a disposable card?,"['use card', 'disposable card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card to pay for things when out and about
989,i need a disposable virtual card how do i get one?,"['get one', 'virtual card', 'get one']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",how do i get one. virtual card
990,how do disposable cards work?,"['disposable cards', 'work cards']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",work cards disposable cards.. a lot of them
991,is there a disposable virtual card i can order?,"['virtual card', 'order card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",order card virtual card order virtual credit card online
992,where can i get a disposable virtual card?,"['get card', 'virtual card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get card virtual card get gift card online no expiration
993,will i be able to get a disposable virtual card as well?,"['get card', 'virtual card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get card. virtual card do things. card
994,hello! i need to order a disposable virtual card where can i do that at?,"['do card', 'virtual card', 'do card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",do card.com/discount-virtual-card
995,where do i request a disposable virtual card?,"['request card', 'virtual card', 'request card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",request card for free pgp keys
996,i would like to exchange currencies but is there an extra charge to do so?,"['exchange currencies', 'extra charge', 'do charge']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",charge extra for currency exchange service.. i would like to exchange currencies but is there an extra charge to do so.
997,does it cost anything for exchanges?,"['cost ', 'cost exchanges']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",exchanges cost. (disambiguation)
998,can i exchange money from abroad without additional costs?,"['exchange money', 'additional costs', 'exchange costs']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",exchange money exchange costs..thanks.
999,does it cost to exchange currencies?,"['exchange currencies', 'exchange currencies']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",exchange currencies.. nzd to usd
1000,is there a fee for using a european bank card to top up?,"['using card', 'bank card', 'european card', 'top card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top up card using card european card bank card
1001,are there any fees for adding money with an international card?,"['adding money', 'international card', 'adding card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",adding money international card.. i have been trying to use my international money card
1002,i was charged when i used a us issued card why and what cards are free to use to add money,"['add money', 'issued card', 'add money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",add money issued card.comcast.net
1003,any hidden fees associated with the international card if money is added?,"['international card', 'added money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",added money to international card? any hidden fees?
1004,will i get charged for topping off my card?,"['topping card', 'topping card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",topping card.. thanks! topping off my card
1005,are there charges for topping up us cards?,"['topping cards', 'us cards', 'topping cards']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",topping up cards us cards..?.
1006,are there fees for top ups?,"['top ups', ' ups']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",fee for top ups upsize phone.
1007,what are the charges for us cards with top up,"['us cards', ' top']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top us cards with no extra charge. top up us credit cards.
1008,is there an additional charge for topping up using a european card?,"['using card', 'european card', 'using card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card to top up currency card.html
1009,in exchange for top ups will you take fees?,"['take fees', 'top ups', 'take fees']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",take fees in exchange for top ups take
1010,i just topped off my card will i be charged for it?,"['topped card', 'charged card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",charged card? topped card refunded card
1011,how much does it cost to top up by card?,['top card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top up card in nigeria by sokode
1012,are there any fees if i use a european bank card for a top up?,"['use card', 'bank card', 'european card', 'use top']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use top euro card use card? a bank
1013,what are the top-up fees?,"['topup fees', ' fees']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",topup fees. top-ups.
1014,how much is the charge to top up my card?,"['top card', 'top card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top card. [ -lcb-]
1015,how much can i expect to pay to top up a us card?,"['top card', 'us card', 'top card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",charge card top up card us card topping up
1016,what fee is included if i top up by card?,['top card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top up card for mobile phones ireland
1017,if i use a european bank card for top up do i get charged?,"['use card', 'bank card', 'european card', 'charged top']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",charge card to use top up on the internet
1018,will there be any extra fees for european bank card for top up?,"['bank card', 'european card', ' top']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top up my european bank card now.
1019,will i be charged if i use european bank card for top up?,"['use card', 'bank card', 'european card', 'use top']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",card use top up european card to top e.
1020,i want to use a european bank card for a top up must i pay?,"['use card', 'top up', 'european card', 'pay top']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",pay top european card top up use card.
1021,will i be charged for topping up by card?,['topping card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",charging card for topping up the tank of vehicle
1022,is there a fee for topping up,['topping fee'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",topping fee.jpg. nbsp
1023,what do you charge for top ups?,"['top ups', 'charge ups']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",charge ups top upes..
1024,will it cost anything to top up a us card?,"['top card', 'us card', 'top card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",do nothing us card top up card. i will be traveling
1025,does topping up my card have a fee?,"['have fee', 'have fee']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",have fee? do topping up my card have a fee
1026,are there fees for adding money using an international card,"['using card', 'international card', 'using card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",fee for using overseas card to add money to online bank account
1027,when using a us card what is the cost for a top up/off?,"['using card', 'top up/', 'using off']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",using card top up/ using off?.
1028,i need to use a european card for a top up what will the charge be?,"['use card', 'european card', 'use charge']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",charge european card using card for a top up
1029,is it okay to use a bank card to top up,"['use card', 'bank card', 'top card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card top card tyres
1030,any fee for topping up?,['topping fee'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",topping up my phone in a shop or bar
1031,are there any fees for top ups?,"['top ups', ' ups']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top ups or top-ups?
1032,what are the fees of using an international card to add money?,"['add money', 'international card', 'add money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",add money with international card fees. what are the fees of using an international.
1033,is there a charge or discount if i use a european bank in a top up?,"['use bank', 'european bank', 'use top']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",charge bank -lrb- top p roduct eu nbsp
1034,is their a fee for top ups?,"['top ups', ' ups']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",top ups upes fee s
1035,can i top up using an international card,"['using card', 'international card', 'using card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",international card using card.? / using international credit cards.
1036,how do i top up with apple pay?,"['apple pay', 'top pay']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",pay with apple pay top up with sd card
1037,why isn't my top up working using my saved american express in applepay?,"['using ', 'american express', 'saved express', 'saved top']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",no matter what i use my balance stays the same.
1038,how do i use the top up app with my apple watch?,"['use app', 'apple watch', 'top app', 'top watch']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use app with apple watch.. not sure
